"","x1","x2","x3","x4","x5","x6","x7","x8","x9"
"835","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"836","Candy","Set of pens",NA,NA,NA,NA,NA,NA,NA
"837","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"838","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"839","Magazine","Candy","Postcard",NA,NA,NA,NA,NA,NA
"840","Toothpaste","Perfume","Shampoo",NA,NA,NA,NA,NA,NA
"841","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"842","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"843","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"844","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"845","Magazine","Postcard",NA,NA,NA,NA,NA,NA,NA
"846","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"847","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"848","Magazine","Pencils",NA,NA,NA,NA,NA,NA,NA
"849","Lek","Set of pens",NA,NA,NA,NA,NA,NA,NA
"850","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"851","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"852","Soap","Perfume",NA,NA,NA,NA,NA,NA,NA
"853","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"854","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"855","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"856","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"857","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"858","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"859","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"860","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"861","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"862","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"863","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"864","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"865","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"866","Toothbrush","Perfume",NA,NA,NA,NA,NA,NA,NA
"867","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"868","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"869","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"870","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"871","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"872","Lek","Soap",NA,NA,NA,NA,NA,NA,NA
"873","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"874","Magazine","Flash cards","Set of pens",NA,NA,NA,NA,NA,NA
"875","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"876","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"877","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"878","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"879","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"880","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"881","Magazine","Flash cards",NA,NA,NA,NA,NA,NA,NA
"882","Flash cards","Candy","Lek","Set of pens",NA,NA,NA,NA,NA
"883","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"884","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"885","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"886","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"887","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"888","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"889","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"890","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"891","Magazine","Perfume",NA,NA,NA,NA,NA,NA,NA
"892","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"893","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"894","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"895","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"896","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"897","Toothbrush","Soap","Set of pens",NA,NA,NA,NA,NA,NA
"898","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"899","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"900","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"901","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"902","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"903","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"904","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"905","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"906","Magazine","Pencils",NA,NA,NA,NA,NA,NA,NA
"907","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"908","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"909","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"910","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"911","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"912","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"913","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"914","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"915","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"916","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"917","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"918","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"919","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"920","Magazine","Postcard",NA,NA,NA,NA,NA,NA,NA
"921","Analgesics","Magazine","Toothbrush","Lek","Shampoo",NA,NA,NA,NA
"922","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"923","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"924","Toothpaste","Pencils","Candy","Postcard",NA,NA,NA,NA,NA
"925","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"926","Magazine","Flash cards",NA,NA,NA,NA,NA,NA,NA
"927","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"928","Magazine","Set of pens",NA,NA,NA,NA,NA,NA,NA
"929","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"930","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"931","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"932","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"933","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"934","Toothbrush","Set of pens",NA,NA,NA,NA,NA,NA,NA
"935","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"936","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"937","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"938","Magazine","Pencils","Candy",NA,NA,NA,NA,NA,NA
"939","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"940","Magazine","Candy",NA,NA,NA,NA,NA,NA,NA
"941","Magazine","Pencils","Candy","Postcard",NA,NA,NA,NA,NA
"942","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"943","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"944","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"945","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"946","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"947","Toothpaste","Postcard",NA,NA,NA,NA,NA,NA,NA
"948","Toothpaste","Toothbrush","Set of pens",NA,NA,NA,NA,NA,NA
"949","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"950","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"951","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"952","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"953","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"954","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"955","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"956","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"957","Toothpaste","Candy","Lek",NA,NA,NA,NA,NA,NA
"958","Flash cards","Set of pens",NA,NA,NA,NA,NA,NA,NA
"959","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"960","Prescription medicines",NA,NA,NA,NA,NA,NA,NA,NA
"961","Magazine","Toothpaste","Toothbrush","Perfume",NA,NA,NA,NA,NA
"962","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"963","Magazine","Toothpaste","Pencils","Candy","Set of pens","Postcard",NA,NA,NA
"964","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"965","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"966","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"967","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"968","Magazine","Pencils","Candy","Postcard",NA,NA,NA,NA,NA
"969","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"970","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"971","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"972","Magazine","Candy",NA,NA,NA,NA,NA,NA,NA
"973","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"974","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"975","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"976","Magazine","Candy","Set of pens","Postcard",NA,NA,NA,NA,NA
"977","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"978","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"979","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"980","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"981","Magazine","Toothpaste",NA,NA,NA,NA,NA,NA,NA
"982","Prescription medicines","Packaging paper",NA,NA,NA,NA,NA,NA,NA
"983","Magazine","Toothbrush","Perfume",NA,NA,NA,NA,NA,NA
"984","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"985","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"986","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"987","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"988","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"989","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"990","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"991","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"992","Prescription medicines",NA,NA,NA,NA,NA,NA,NA,NA
"993","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"994","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"995","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"996","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"997","Toothpaste","Candy",NA,NA,NA,NA,NA,NA,NA
"998","Toothpaste","Shampoo",NA,NA,NA,NA,NA,NA,NA
"999","Candy","Packaging paper",NA,NA,NA,NA,NA,NA,NA
"1000","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1001","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1002","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1003","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1004","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1005","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1006","Toothpaste","Toothbrush","Postcard","Shampoo",NA,NA,NA,NA,NA
"1007","Toothpaste","Flash cards","Packaging paper",NA,NA,NA,NA,NA,NA
"1008","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1009","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1010","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1011","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1012","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"1013","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1014","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1015","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1016","Magazine","Toothpaste","Pencils","Candy",NA,NA,NA,NA,NA
"1017","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1018","Toothpaste","Candy",NA,NA,NA,NA,NA,NA,NA
"1019","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1020","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1021","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1022","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1023","Deodorant",NA,NA,NA,NA,NA,NA,NA,NA
"1024","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1025","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1026","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1027","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1028","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1029","Lek","Perfume",NA,NA,NA,NA,NA,NA,NA
"1030","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1031","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1032","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1033","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1034","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1035","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1036","Magazine","Flash cards",NA,NA,NA,NA,NA,NA,NA
"1037","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1038","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1039","Toothbrush","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"1040","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"1041","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1042","Magazine","Flash cards",NA,NA,NA,NA,NA,NA,NA
"1043","Magazine","Toothpaste","Flash cards","Candy",NA,NA,NA,NA,NA
"1044","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1045","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1046","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"1047","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1048","Magazine","Perfume",NA,NA,NA,NA,NA,NA,NA
"1049","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1050","Toothbrush","Lek","Soap",NA,NA,NA,NA,NA,NA
"1051","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1052","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1053","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1054","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1055","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1056","Magazine","Postcard",NA,NA,NA,NA,NA,NA,NA
"1057","Pencils","Candy",NA,NA,NA,NA,NA,NA,NA
"1058","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1059","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1060","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1061","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1062","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1063","Pens",NA,NA,NA,NA,NA,NA,NA,NA
"1064","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1065","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1066","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1067","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1068","Magazine","Set of pens",NA,NA,NA,NA,NA,NA,NA
"1069","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1070","Magazine","Toothpaste",NA,NA,NA,NA,NA,NA,NA
"1071","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1072","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1073","Pencils","Postcard",NA,NA,NA,NA,NA,NA,NA
"1074","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1075","Magazine","Toothpaste","Pencils","Postcard",NA,NA,NA,NA,NA
"1076","Magazine","Candy",NA,NA,NA,NA,NA,NA,NA
"1077","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1078","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1079","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1080","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1081","Toothpaste","Pencils","Candy","Set of pens","Perfume",NA,NA,NA,NA
"1082","Pencils","Postcard",NA,NA,NA,NA,NA,NA,NA
"1083","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1084","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1085","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1086","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1087","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1088","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1089","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1090","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1091","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1092","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1093","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1094","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1095","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1096","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1097","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1098","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1099","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1100","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1101","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1102","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1103","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1104","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"1105","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1106","Magazine","Toothpaste","Candy","Perfume","Postcard",NA,NA,NA,NA
"1107","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1108","Toothbrush","Lek","Soap",NA,NA,NA,NA,NA,NA
"1109","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1110","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1111","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1112","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1113","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1114","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1115","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1116","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"1117","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1118","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1119","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1120","Toothbrush","Set of pens",NA,NA,NA,NA,NA,NA,NA
"1121","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1122","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1123","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1124","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1125","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1126","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1127","Soap",NA,NA,NA,NA,NA,NA,NA,NA
"1128","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"1129","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1130","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1131","Toothpaste","Candy",NA,NA,NA,NA,NA,NA,NA
"1132","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1133","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1134","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1135","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1136","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1137","Toothpaste","Toothbrush","Packaging paper","Shampoo",NA,NA,NA,NA,NA
"1138","Toothpaste","Postcard",NA,NA,NA,NA,NA,NA,NA
"1139","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1140","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1141","Set of pens","Perfume",NA,NA,NA,NA,NA,NA,NA
"1142","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1143","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1144","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1145","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1146","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1147","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1148","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1149","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1150","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1151","Magazine","Flash cards",NA,NA,NA,NA,NA,NA,NA
"1152","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1153","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1154","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1155","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1156","Toothpaste","Toothbrush","Lek","Shampoo",NA,NA,NA,NA,NA
"1157","Magazine","Pencils","Set of pens","Postcard",NA,NA,NA,NA,NA
"1158","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1159","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1160","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1161","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1162","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"1163","Magazine","Pencils","Postcard",NA,NA,NA,NA,NA,NA
"1164","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1165","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"1166","Toothpaste","Postcard",NA,NA,NA,NA,NA,NA,NA
"1167","Prescription medicines",NA,NA,NA,NA,NA,NA,NA,NA
"1168","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1169","Toothpaste","Candy","Postcard",NA,NA,NA,NA,NA,NA
"1170","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1171","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1172","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1173","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1174","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1175","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1176","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1177","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1178","Flash cards","Candy","Postcard",NA,NA,NA,NA,NA,NA
"1179","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1180","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1181","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1182","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1183","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1184","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1185","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1186","Packaging paper",NA,NA,NA,NA,NA,NA,NA,NA
"1187","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1188","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1189","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1190","Prescription medicines",NA,NA,NA,NA,NA,NA,NA,NA
"1191","Pencils","Postcard",NA,NA,NA,NA,NA,NA,NA
"1192","Lek","Packaging paper",NA,NA,NA,NA,NA,NA,NA
"1193","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1194","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1195","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1196","Toothpaste","Pencils",NA,NA,NA,NA,NA,NA,NA
"1197","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1198","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1199","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1200","Pencils","Lek",NA,NA,NA,NA,NA,NA,NA
"1201","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1202","Perfume",NA,NA,NA,NA,NA,NA,NA,NA
"1203","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1204","Magazine","Set of pens",NA,NA,NA,NA,NA,NA,NA
"1205","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1206","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1207","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"1208","Candy","Set of pens",NA,NA,NA,NA,NA,NA,NA
"1209","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1210","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1211","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1212","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1213","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1214","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1215","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1216","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1217","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1218","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1219","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1220","Candy",NA,NA,NA,NA,NA,NA,NA,NA
"1221","Pencils",NA,NA,NA,NA,NA,NA,NA,NA
"1222","Toothbrush","Perfume",NA,NA,NA,NA,NA,NA,NA
"1223","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1224","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1225","Analgesics",NA,NA,NA,NA,NA,NA,NA,NA
"1226","Lek",NA,NA,NA,NA,NA,NA,NA,NA
"1227","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1228","Magazine","Flash cards","Perfume",NA,NA,NA,NA,NA,NA
"1229","Toothpaste","Toothbrush","Postcard",NA,NA,NA,NA,NA,NA
"1230","Magazine","Pencils",NA,NA,NA,NA,NA,NA,NA
"1231","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1232","Toothpaste",NA,NA,NA,NA,NA,NA,NA,NA
"1233","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1234","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1235","Flash cards",NA,NA,NA,NA,NA,NA,NA,NA
"1236","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1237","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1238","Candy","Postcard",NA,NA,NA,NA,NA,NA,NA
"1239","Shampoo",NA,NA,NA,NA,NA,NA,NA,NA
"1240","Toothbrush","Perfume",NA,NA,NA,NA,NA,NA,NA
"1241","Magazine",NA,NA,NA,NA,NA,NA,NA,NA
"1242","Postcard",NA,NA,NA,NA,NA,NA,NA,NA
"1243","Set of pens",NA,NA,NA,NA,NA,NA,NA,NA
"1244","Toothbrush",NA,NA,NA,NA,NA,NA,NA,NA
"1245","Candy",NA,NA,NA,NA,NA,NA,NA,NA
